N,K,D,noise_level,theta_level,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,7,"[400, 400, 400]",0.2,0.2,8,4,0.2266325069868835,0.2255714046687325,0.6283296901118682,model_cling_ablation2a,,0.46451584987776845,0.4930206899439709
100,7,"[400, 400, 400]",0.2,0.2,9,4,0.4489207301920303,0.4400800656863111,0.5825622562256225,model_cling_ablation2a,,0.35673840102838017,0.37450412262031574
100,7,"[400, 400, 400]",0.2,0.2,11,3,0.4851978406019753,0.4880542681511969,0.4981783892674981,model_cling_ablation2a,,0.3270041138178891,0.416118195155651
100,7,"[400, 400, 400]",0.2,0.2,10,4,0.42735374782647034,0.3731644585268755,0.6028271398568429,model_cling_ablation2a,,0.4757433839145555,0.468244446733822
100,7,"[400, 400, 400]",0.2,0.2,12,4,0.3960504417072002,0.3846044279438935,0.5914774334576315,model_cling_ablation2a,,0.39419802000689785,0.43269013398703604
100,7,"[400, 400, 400]",0.2,0.2,13,4,0.3453196861822711,0.3444954016424244,0.6011846898975611,model_cling_ablation2a,,0.43215509593923457,0.4557397438268431
100,7,"[400, 400, 400]",0.2,0.2,14,4,0.4865712618965765,0.44188537473670375,0.6069572671552869,model_cling_ablation2a,,0.42832195207333357,0.46282847581380376
100,7,"[400, 400, 400]",0.2,0.2,15,4,0.43953435084148973,0.4111386755981099,0.6307933650507909,model_cling_ablation2a,,0.4693142644221923,0.45752858817551745
100,7,"[400, 400, 400]",0.2,0.2,16,4,0.3732789193276937,0.368462546272206,0.599000471475719,model_cling_ablation2a,,0.45306641714398393,0.42616577184707505
100,7,"[400, 400, 400]",0.2,0.2,19,3,0.395293652419251,0.39305174832465584,0.479069049762119,model_cling_ablation2a,,0.3059322323717738,0.38350090299171635
100,7,"[400, 400, 400]",0.2,0.2,18,4,0.3512654439859391,0.25681645815780585,0.5034177703484634,model_cling_ablation2a,,0.3108944304455539,0.3834055851073269
